Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
68866,李昌镐,李熙星,B+1.5,B,5,9,-1,-9
69112,卞相壹,李昌镐,B+R,B,7,7,10,15
69766,姜东润,李昌镐,B+0.5,B,3,-1,-5,29
70126,李昌镐,金庭贤,W+R,W,-1,7,1,13
70414,尹峻相,李昌镐,W+R,W,-2,-4,4,-6
70611,李昌镐,李东勋,B+R,B,-7,5,-10,-22
71355,金升宰,李昌镐,W+R,W,0,-2,1,25
71659,姜秉卷,李昌镐,W+1.5,W,-10,12,-18,-29
72418,李昌镐,姜至省,W+R,W,0,-4,2,33
72456,李昌镐,朴永训,W+4.5,W,0,12,4,7
74882,尹俊相,李昌镐,W+R,W,0,-2,0,6
74892,李昌镐,申旻埈,W+R,W,2,6,1,4
75368,陈兆年,李昌镐,W+R,W,0,2,0,4
75439,卞相壹,李昌镐,B+R,B,-1,-10,0,4
75469,孔杰,李昌镐,B+R,B,-8,-1,-4,-18
77620,李昌镐,朴正祥,黑中盘胜,B,5,5,1,12
77634,申旻埈,李昌镐,白中盘胜,W,-2,4,-1,14
78534,李昌镐,安成浚,黑中盘胜,B,7,1,6,30
79122,李昌镐,朴廷桓,黑棋中盘胜,B,4,4,-40,-11
79378,罗  玄,李昌镐,黑棋中盘胜,B,1,5,-1,1
80243,时  越,李昌镐,黑棋中盘胜,B,0,-2,-1,13
80267,李昌镐,孟泰龄,黑棋超时胜,B,7,8,5,1
80269,李昌镐,朴廷桓,白棋中盘胜,W,0,3,0,16
83866,赵惠连,李昌镐,白棋中盘胜！,W,4,-2,8,42
86776,李世石,李昌镐,黑棋中盘胜！,B,-2,-4,-11,7
86827,廖元赫,李昌镐,黑棋中盘胜！,B,4,5,3,-12
94334,李昌镐,罗  玄,黑中盘胜,B,4,0,8,30
97370,金志锡,李昌镐,黑中盘胜,B,2,4,0,0
97376,李昌镐,白洪淅,白1目半胜,W,-1,-4,-7,-21
97382,朴廷桓,李昌镐,黑中盘胜,B,0,-7,-8,-4
97383,姜昇旼,李昌镐,白中盘胜,W,-2,3,-2,26
100021,朴永训,李昌镐,白中盘胜,W,3,2,2,20
100083,李昌镐,金主镐,白2目半胜,W,3,-9,-1,3
100135,林君谚,李昌镐,黑中盘胜,B,-3,-16,-2,8
100194,李昌镐,安祚永,黑中盘胜,B,5,9,4,3
100259,朴进率,李昌镐,白中盘胜,W,0,3,-2,-4
103336,李泰贤,李昌镐,黑中盘胜,B,2,3,0,-23
103438,李昌镐,宋泰坤,白中盘胜,W,0,1,22,7
103494,李昌镐,韩态熙,白中盘胜,W,1,-2,0,5
104280,李东勋,李昌镐,黑中盘胜,B,1,-1,-1,19
106466,李昌镐,常  昊,黑半目胜,B,7,4,6,5
106538,李志贤,李昌镐,白中盘胜,W,4,-7,2,30
109582,李昌镐,白洪淅,黑中盘胜,B,0,-4,1,-5
109680,朴进率,李昌镐,白中盘胜,W,-3,-2,-3,-7
113739,金东昊,李昌镐,白中盘胜,W,6,-1,7,5
113775,李昌镐,林君谚,黑中盘胜,B,-1,7,-5,5
113823,唐韦星,李昌镐,黑1.5目胜,B,7,-4,3,19
130521,李昌镐,朴正祥,黑中盘胜,B,1,-2,-1,15
132250,刘昌赫,李昌镐,黑中盘胜,B,-2,-2,-2,-2
133381,李昌镐,曹薰铉,黑8目半胜,B,1,4,-18,1
134251,徐奉洙,李昌镐,白中盘胜,W,2,-7,2,4
135426,赵治勋,李昌镐,白2目半胜,W,2,9,10,-3
135868,李昌镐,姜东润,白中盘胜,W,2,7,0,-10
158982,李昌镐,常昊,黑中盘胜,B,2,2,1,25
169020,金庭贤,李昌镐,白中盘胜,W,-2,9,8,-32
171420,洪旼杓,李昌镐,白胜1.5目,W,4,-7,14,7
172738,李昌镐,李昌锡,黑中盘胜,B,-4,5,-6,-34
177878,李世石,李昌镐,黑中盘胜,B,-4,-4,2,15
178956,李昌镐,崔宰荣,黑中盘胜,B,3,-4,1,-11
182817,许映皓,李昌镐,白中盘胜,W,5,12,3,4
182825,李昌镐,姜至省,白中盘胜,W,-3,-2,-2,5
185358,李昌镐,闵详然,黑中盘胜,B,1,-3,-2,17
190474,常昊,李昌镐,白中盘胜,W,1,1,1,-11
192572,姜儒泽,李昌镐,黑中盘胜,B,2,5,1,-9
195037,李昌镐,崔哲瀚,白中盘胜,W,1,-4,3,4
197005,李昌镐,金庭贤,白中盘胜,W,-8,2,-1,5
197646,依田纪基,李昌镐,白中盘胜,W,6,6,19,5
197891,李昌镐,常昊,白中盘胜,W,2,8,1,15
216797,李昌镐,韩态熙,黑胜0.5目,B,1,-11,-10,12
219388,李昌镐,崔精,黑中盘胜,B,-1,2,-7,-24
219709,李昌镐,崔精,黑中盘胜,B,1,-7,-2,-8
223049,李昌镐,宋知勋,白胜0.5目,W,1,7,5,8
223100,李昌镐,申旻埈,白胜5.5目,W,-3,3,-23,-9
225945,李泰贤,李昌镐,黑中盘胜,B,1,0,1,20
236874,李昌镐,姜儒泽,白中盘胜,W,-2,-4,-2,-19
237428,朴廷桓,李昌镐,黑中盘胜,B,-1,-6,-3,-15
258013,李昌镐,崔圭丙,黑中盘胜,B,5,0,7,22
274884,李昌镐,李世石,黑中盘胜,B,4,8,3,-4
283843,李昌镐,朴廷桓,白中盘胜,W,-2,7,-1,-11
289402,林彦丞,李昌镐,黑中盘胜,B,1,7,-4,-1
371154,李昌镐,李世石,黑胜7.5目,B,9,1,8,1
371202,李昌镐,许映皓,白中盘胜,W,-2,1,1,19
371393,李世石,李昌镐,黑中盘胜,B,10,3,11,7
371502,李昌镐,李元荣,黑中盘胜,B,-3,-2,-7,-27
371784,李昌镐,申旻埈,白中盘胜,W,-2,3,-4,-33
371888,许映皓,李昌镐,白中盘胜,W,-1,12,1,-4
371970,李昌镐,申真谞,白中盘胜,W,-3,-1,-1,11
372024,李昌镐,元晟溱,白胜2.5目,W,0,-5,-23,7
372243,宋知勋,李昌镐,白中盘胜,W,5,4,6,-5
372477,李昌镐,李映九,黑中盘胜,B,0,2,-1,-6
372651,李昌镐,金庭贤,黑中盘胜,B,0,6,0,-16
372789,李昌锡,李昌镐,黑胜1.5目,B,0,1,2,16
372952,李昌镐,赵汉乘,白中盘胜,W,-2,-8,3,-5
372996,李昌镐,赵惠连,白胜0.5目,W,-4,10,35,13
373179,李元荣,李昌镐,白中盘胜,W,4,0,-1,3
373288,尹峻相,李昌镐,黑中盘胜,B,4,3,2,13
373460,李昌镐,崔精,黑中盘胜,B,6,2,10,15
374228,李昌镐,偰玹准,白中盘胜,W,2,-3,2,-6
377399,姜儒泽,李昌镐,白胜0.5目,W,2,4,9,13
385212,洪性志,李昌镐,黑中盘胜,B,2,7,-3,2
395858,薛勋,李昌镐,白胜1目,W,-5,1,16,16
