Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
406836,李昌镐,尹灿熙,黑中盘胜,B,0,6,-5,10
444552,李昌镐,李世石,白中盘胜,W,5,0,0,3
480550,金志锡,李昌镐,黑中盘胜,B,5,3,-1,-15
482065,柳珉滢,李昌镐,黑胜1.5目,B,-1,5,-4,8
572122,元晟溱,李昌镐,白胜2.5目,W,4,-3,3,22
576658,罗玄,李昌镐,黑中盘胜,B,2,-1,0,-3
586364,李昌镐,李映九,白中盘胜,W,-1,-3,1,6
596430,偰玹准,李昌镐,白中盘胜,W,0,2,5,14
598735,李昌镐,金世东,白胜9.5目,W,-5,-7,-5,-22
602189,李昌镐,卞相壹,白中盘胜,W,2,4,2,22
607889,陈耀烨,李昌镐,黑中盘胜,B,0,-2,4,-1
623387,姜东润,李昌镐,白中盘胜,W,0,7,-1,6
634338,李志贤,李昌镐,黑胜2.5目,B,-1,-5,-2,7
643531,宋知勋,李昌镐,黑中盘胜,B,5,9,7,26
660323,李昌镐,李映九,白中盘胜,W,0,-3,0,-7
665877,李昌镐,吴侑珍,白中盘胜,W,-5,-4,-5,1
684273,谢尔豪,李昌镐,黑中盘胜,B,8,6,10,33
693773,李昌镐,朴键昊,黑中盘胜,B,0,-8,-1,35
699802,李昌镐,李志贤,黑中盘胜,B,4,3,4,-5
703196,依田纪基,李昌镐,黑胜3/4子,B,3,11,3,1
742448,朴河旼,李昌镐,白中盘胜,W,-6,5,-6,2
742454,李昌镐,朴河旼,白胜2.5目,W,-2,0,-2,-3
752040,卞相壹,李昌镐,黑中盘胜,B,2,1,5,-8
754892,李昌镐,罗玄,白中盘胜,W,-1,-2,2,-2
1048851,李昌镐,李东勋,白中盘胜,W,-6,-3,-6,-52
1492120,李昌镐,陈耀烨,白中盘胜,W,0,7,7,23
1734271,李昌镐,古力,白棋中盘胜,W,0,-2,1,26
1734272,李昌镐,常昊,黑棋中盘胜,B,-1,-4,4,-7
1975113,李昌镐,高尾绅路,黑棋中盘胜,B,1,-9,1,19
1975262,常昊,李昌镐,黑棋中盘胜,B,-1,5,-2,1
1977421,马晓春,李昌镐,白棋中盘胜,W,-2,0,-2,-18
3415498,李轩豪,李昌镐,黑棋6.5目胜,B,0,2,2,-13
4684726,李昌镐,常昊,黑棋中盘胜,B,2,4,0,1
4827764,赵晨宇,李昌镐,黑棋中盘胜,B,6,9,12,19
6723463,李昌镐,檀啸,白棋中盘胜,W,-2,-2,-3,-17
131306,李世石,朴廷桓,黑中盘胜,B,-2,-1,-2,-15
134592,李世石,柯洁,白中盘胜,W,-2,1,-2,-13
134593,李世石,一力辽,黑中盘胜,B,1,-2,1,-4
137496,李世石,白洪淅,黑中盘胜,B,-1,3,0,10
137721,村川大介,李世石,白中盘胜,W,3,7,5,29
137846,李世石,连笑,黑中盘胜,B,-1,-8,-3,-8
137950,井山裕太,李世石,白中盘胜,W,3,-2,2,1
139087,李世石,谷歌围棋AlphaGo,白中盘胜,W,-1,-7,-7,-7
139250,谷歌围棋AlphaGo,李世石,黑中盘胜,B,1,3,-6,-3
140037,谷歌围棋AlphaGo,李世石,白中盘胜,W,0,-1,-1,14
140038,李世石,谷歌围棋AlphaGo,白中盘胜,W,-2,8,2,-7
140561,李世石,谷歌围棋AlphaGo,白中盘胜,W,-2,2,1,5
145415,金志锡,李世石,白中盘胜,W,0,-2,-1,-17
153199,林立祥,李世石,白不计点胜,W,1,-6,0,11
153979,李世石,姜东润,黑5点胜,B,-6,0,-6,-6
154918,朴永训,李世石,白中盘胜,W,1,2,0,-13
156774,元晟溱,李世石,白中盘胜,W,3,10,0,-9
158981,李世石,元晟溱,黑中盘胜,B,-1,0,0,-6
165438,李世石,古力,白中盘胜,W,-3,2,-6,-17
169001,李世石,朴廷桓,白不计点胜,W,1,1,0,-24
169039,朴廷桓,李世石,白中盘胜,W,1,-1,2,10
169667,朴廷桓,李世石,黑3点胜,B,-1,0,-2,-25
171401,毛睿龙,李世石,黑中盘胜,B,2,1,3,-3
171445,李世石,张维,黑胜1又3/4子,B,1,-7,-8,13
171462,李世石,申旻埈,黑中盘胜,B,-2,-4,-1,-13
171744,安成浚,李世石,白中盘胜,W,1,-1,1,5
172420,李世石,谢赫,黑中盘胜,B,-2,-5,-4,-7
172754,李世石,邱峻,黑中盘胜,B,2,-1,3,28
173675,安国铉,李世石,白中盘胜,W,5,-6,0,-19
173689,朴永训,李世石,白中盘胜,W,0,4,0,-6
176564,金大容,李世石,白中盘胜,W,-1,-2,-15,-7
181676,李世石,姜升旼,白中盘胜,W,-3,-4,-2,-4
181703,李世石,安正已,黑2目半胜,B,-5,-8,-5,0
183220,洪基杓,李世石,白中盘胜,W,-6,0,-6,-11
185361,金庭贤,李世石,黑胜3.5目,B,-1,4,0,-22
186481,余正麒,李世石,白中盘胜,W,-1,-1,0,14
187032,陈耀烨,李世石,白4目半胜,W,2,2,3,-7
190471,李世石,姜东润,黑中盘胜,B,3,6,3,16
191767,元晟溱,李世石,黑中盘胜,B,-1,-6,-3,-16
197437,范蕴若,李世石,黑中盘胜,B,1,-4,-1,-13
197441,阿里贾巴林,李世石,白中盘胜,W,-1,-2,-1,3
197644,李世石,廖行文,黑中盘胜,B,0,3,-1,-15
216796,李世石,崔哲瀚,黑胜2.5目,B,0,9,-1,5
219407,金志锡,李世石,黑中盘胜,B,0,4,3,1
219707,李世石,一力辽,白中盘胜,W,1,3,2,3
223065,金明训,李世石,白中盘胜,W,3,2,4,21
223071,唐韦星,李世石,白中盘胜,W,1,-1,-1,9
223082,李世石,童梦成,黑中盘胜,B,0,3,3,25
224013,李世石,安成浚,白中盘胜,W,3,-5,3,19
225873,李映九,李世石,黑中盘胜,B,1,-10,1,-5
227155,李世石,李志贤,白中盘胜,W,1,3,0,11
230584,柯洁,李世石,黑中盘胜,B,0,-1,-4,-12
230847,李世石,柯洁,黑中盘胜,B,3,1,6,18
231066,李世石,柯洁,白中盘胜,W,-1,-7,-1,10
232670,李世石,曹又尹,黑中盘胜,B,1,7,0,24
233010,李世石,金起用,白中盘胜,W,-2,4,-1,-5
244376,李世石,姜东润,黑中盘胜,B,3,7,3,16
272613,李世石,井山裕太,黑中盘胜,B,1,2,2,17
370834,李世石,周睿羊,白胜1/4子,W,1,0,1,-17
370926,范蕴若,李世石,黑中盘胜,B,1,-4,-1,-3
370966,童梦成,李世石,白中盘胜,W,3,1,1,5
371132,辜梓豪,李世石,黑中盘胜,B,1,-1,-5,-7
371166,李世石,申旻埈,黑中盘胜,B,0,-1,1,8
371346,江维杰,李世石,黑中盘胜,B,3,-7,4,7
